QUERY	KO	BRITE	CAZY	COG	DISEASE	DRUG	ENZYME	GO	MODULE	NETWORK	PATHWAY	PUBMED	RCLASS	REACTION	TC	VP	DESCRIPTION
Unknown_BF302-01R0002_00006	K03664	br:ko00001	NA	cog:COG0691	NA	NA	NA	NA	NA	NA	NA	pmid:20953161	NA	NA	NA	NA	smpB; SsrA-binding protein
Unknown_BF302-01R0002_00007	K12573	br:ko00001;br:ko01000;br:ko03016;br:ko03019	NA	cog:COG0557	NA	NA	ec:3.1.13.1	go:0008997	NA	NA	path:ko03018;path:map03018	pmid:20023028;pmid:9603904	NA	NA	NA	NA	rnr, vacB; ribonuclease R
Unknown_BF302-01R0002_00008	K03075	br:ko00001;br:ko02044	NA	cog:COG1314	NA	NA	NA	NA	NA	NA	path:ko02024;path:ko03060;path:ko03070;path:map02024;path:map03060;path:map03070	pmid:11069681;pmid:17368028	NA	NA	tc:3.A.5.1;tc:3.A.5.2	NA	secG; preprotein translocase subunit SecG
Unknown_BF302-01R0002_00009	K03282	br:ko00001;br:ko02000	NA	cog:COG1970	NA	NA	NA	go:0008381	NA	NA	NA	pmid:10202137;pmid:20825352;pmid:22000509	NA	NA	tc:1.A.22.1	NA	mscL; large conductance mechanosensitive channel
Unknown_BF302-01R0002_00010	K01756	br:ko00001;br:ko01000	NA	cog:COG0015	ds:H00197	NA	ec:4.3.2.2	go:0004018	md:M00048;md:M00049	NA	path:ko00230;path:ko00250;path:ko01100;path:ko01110;path:ko01232;path:ko01240;path:map00230;path:map00250;path:map01100;path:map01110;path:map01232;path:map01240	pmid:10888601;pmid:17531264	rc:RC00379;rc:RC00444;rc:RC00445	rn:R01083;rn:R04559;rn:R12851	NA	NA	purB, ADSL; adenylosuccinate lyase
Unknown_BF302-01R0002_00011	K00764	br:ko00001;br:ko01000;br:ko01002	NA	cog:COG0034	NA	NA	ec:2.4.2.14	go:0004044	md:M00048	NA	path:ko00230;path:ko00250;path:ko01100;path:ko01110;path:map00230;path:map00250;path:map01100;path:map01110	pmid:372191;pmid:8380692	rc:RC00010;rc:RC02724;rc:RC02752	rn:R01072	NA	NA	purF, PPAT; amidophosphoribosyltransferase
Unknown_BF302-01R0002_00012	K01923	br:ko00001;br:ko01000	NA	cog:COG0152	NA	NA	ec:6.3.2.6	go:0004639	md:M00048	NA	path:ko00230;path:ko01100;path:ko01110;path:map00230;path:map01100;path:map01110	pmid:1534690	rc:RC00064;rc:RC00162	rn:R04591	NA	NA	purC; phosphoribosylaminoimidazole-succinocarboxamide synthase
Unknown_BF302-01R0002_00013	K15633	br:ko00001;br:ko01000	NA	cog:COG0696	NA	NA	ec:5.4.2.12	go:0046537	md:M00001;md:M00002;md:M00003	NA	path:ko00010;path:ko00260;path:ko00680;path:ko01100;path:ko01110;path:ko01120;path:ko01200;path:ko01230;path:map00010;path:map00260;path:map00680;path:map01100;path:map01110;path:map01120;path:map01200;path:map01230	pmid:10437801;pmid:8021172	rc:RC00536	rn:R01518	NA	NA	gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase
Unknown_BF302-01R0002_00014	K01803	br:ko00001;br:ko01000;br:ko04147	NA	cog:COG0149	ds:H00664	NA	ec:5.3.1.1	go:0004807	md:M00001;md:M00002;md:M00003	NA	path:ko00010;path:ko00051;path:ko00562;path:ko00710;path:ko01100;path:ko01110;path:ko01120;path:ko01200;path:ko01230;path:map00010;path:map00051;path:map00562;path:map00710;path:map01100;path:map01110;path:map01120;path:map01200;path:map01230	pmid:2876430;pmid:6092857;pmid:7859734	rc:RC00423	rn:R01015	NA	NA	TPI, tpiA; triosephosphate isomerase (TIM)
Unknown_BF302-01R0002_00015	K00927	br:ko00001;br:ko01000;br:ko04147	NA	cog:COG0126	ds:H00664	NA	ec:2.7.2.3	go:0004618	md:M00001;md:M00002;md:M00003;md:M00165;md:M00166;md:M00308;md:M00552	NA	path:ko00010;path:ko00710;path:ko01100;path:ko01110;path:ko01120;path:ko01200;path:ko01230;path:ko04066;path:map00010;path:map00710;path:map01100;path:map01110;path:map01120;path:map01200;path:map01230;path:map04066	pmid:17222195;pmid:6188151;pmid:7859734	rc:RC00002;rc:RC00043	rn:R01512	NA	NA	PGK, pgk; phosphoglycerate kinase
Unknown_BF302-01R0002_00016	K00134	br:ko00001;br:ko01000;br:ko04131;br:ko04147	NA	cog:COG0057	NA	NA	ec:1.2.1.12	go:0004365	md:M00001;md:M00002;md:M00003;md:M00165;md:M00166;md:M00308;md:M00552	NA	path:ko00010;path:ko00710;path:ko01100;path:ko01110;path:ko01120;path:ko01200;path:ko01230;path:ko04066;path:ko05010;path:ko05130;path:ko05132;path:ko05415;path:map00010;path:map00710;path:map01100;path:map01110;path:map01120;path:map01200;path:map01230;path:map04066;path:map05010;path:map05130;path:map05132;path:map05415	pmid:21640161;pmid:3170585;pmid:8352651	rc:RC00149	rn:R01061	NA	NA	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating)
Unknown_BF302-01R0002_00017	K04486	br:ko00001;br:ko01000	NA	cog:COG1387	NA	NA	ec:3.1.3.15	go:0004401	md:M00026	NA	path:ko00340;path:ko01100;path:ko01110;path:ko01230;path:map00340;path:map01100;path:map01110;path:map01230	NA	rc:RC00017	rn:R03013	NA	NA	E3.1.3.15B; histidinol-phosphatase (PHP family)
Unknown_BF302-01R0002_00018	K00763	br:ko00001;br:ko01000	NA	cog:COG1488	NA	NA	ec:6.3.4.21	go:0004516	NA	NA	path:ko00760;path:ko01100;path:ko01240;path:map00760;path:map01100;path:map01240	pmid:17604275;pmid:2211655	rc:RC00033	rn:R01724	NA	NA	pncB, NAPRT1; nicotinate phosphoribosyltransferase
Unknown_BF302-01R0002_00019	K01952	br:ko00001;br:ko01000	NA	cog:COG0046;cog:COG0047	NA	NA	ec:6.3.5.3	go:0004642	md:M00048	NA	path:ko00230;path:ko01100;path:ko01110;path:map00230;path:map01100;path:map01110	pmid:10548741;pmid:2659070	rc:RC00010;rc:RC01160	rn:R04463	NA	NA	PFAS, purL; phosphoribosylformylglycinamidine synthase
Unknown_BF302-01R0002_00021	K10844	br:ko00001;br:ko01000;br:ko03021;br:ko03400	NA	NA	ds:H00403;ds:H00866;ds:H01428	NA	ec:5.6.2.3	go:0043139	NA	NA	path:ko03022;path:ko03420;path:map03022;path:map03420	pmid:20016270;pmid:20797633	NA	NA	NA	NA	ERCC2, XPD; DNA excision repair protein ERCC-2
Unknown_BF302-01R0002_00022	K02784	br:ko00001;br:ko02000	NA	cog:COG1925	NA	NA	NA	NA	NA	NA	path:ko02060;path:map02060	pmid:2457575;pmid:8596444	NA	NA	tc:8.A.8.1	NA	ptsH; phosphocarrier protein HPr
Unknown_BF302-01R0002_00024	K03470	br:ko00001;br:ko01000;br:ko03032	NA	cog:COG0164	NA	NA	ec:3.1.26.4	go:0004523	NA	NA	path:ko03030;path:map03030	pmid:8087839	NA	NA	NA	NA	rnhB; ribonuclease HII
Unknown_BF302-01R0002_00025	K14540	br:ko00001;br:ko03009	NA	cog:COG1161	NA	NA	NA	NA	NA	NA	NA	pmid:16431913	NA	NA	NA	NA	rbgA; ribosome biogenesis GTPase A
Unknown_BF302-01R0002_00026	K03100	br:ko00001;br:ko01000;br:ko01002	NA	cog:COG0681	NA	NA	ec:3.4.21.89	NA	NA	NA	path:ko03060;path:map03060	pmid:10924740;pmid:2987248;pmid:9422718;pmid:9823656	NA	NA	NA	NA	lepB; signal peptidase I
Unknown_BF302-01R0002_00027	K02884	br:br01610;br:ko00001;br:ko03011	NA	cog:COG0335	NA	NA	NA	go:0005762;go:0022625	NA	NA	path:ko03010;path:map03010	pmid:10094780;pmid:7559342	NA	NA	NA	NA	RP-L19, MRPL19, rplS; large subunit ribosomal protein L19
Unknown_BF302-01R0002_00028	K00554	br:ko00001;br:ko01000;br:ko03016	NA	cog:COG0336	NA	NA	ec:2.1.1.228	go:0009019	NA	NA	NA	pmid:19944101;pmid:6357787	rc:RC00003;rc:RC00334	rn:R00597	NA	NA	trmD; tRNA (guanine37-N1)-methyltransferase
Unknown_BF302-01R0002_00029	K02860	br:ko00001;br:ko03009	NA	cog:COG0806	NA	NA	NA	NA	NA	NA	NA	pmid:9422595	NA	NA	NA	NA	rimM; 16S rRNA processing protein RimM
Unknown_BF302-01R0002_00030	K06960	br:ko00001	NA	cog:COG1837	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K06960; uncharacterized protein
Unknown_BF302-01R0002_00031	K02959	br:br01610;br:ko00001;br:ko03011;br:ko03029	NA	cog:COG0228	ds:H00891	NA	NA	go:0005763;go:0022627	NA	NA	path:ko03010;path:map03010	pmid:8730873	NA	NA	NA	NA	RP-S16, MRPS16, rpsP; small subunit ribosomal protein S16
Unknown_BF302-01R0002_00032	K03106	br:ko00001;br:ko01000;br:ko02044	NA	cog:COG0541	ds:H00100	NA	ec:3.6.5.4	NA	NA	NA	path:ko02024;path:ko03060;path:ko03070;path:map02024;path:map03060;path:map03070	pmid:14641032;pmid:15140892;pmid:9002524;pmid:9511762	NA	NA	tc:3.A.5.1;tc:3.A.5.2;tc:3.A.5.7;tc:3.A.5.8;tc:3.A.5.9	NA	SRP54, ffh; signal recognition particle subunit SRP54
Unknown_BF302-01R0002_00033	K09787	br:ko00001	NA	cog:COG2739	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K09787; uncharacterized protein
Unknown_BF302-01R0002_00034	K01754	br:ko00001;br:ko01000	NA	cog:COG1171	NA	NA	ec:4.3.1.19	go:0004794	md:M00570	NA	path:ko00260;path:ko00290;path:ko01100;path:ko01110;path:ko01200;path:ko01230;path:map00260;path:map00290;path:map01100;path:map01110;path:map01200;path:map01230	pmid:2011578	rc:RC00418;rc:RC02600	rn:R00220;rn:R00996	NA	NA	E4.3.1.19, ilvA, tdcB; threonine dehydratase
Unknown_BF302-01R0002_00035	K03110	br:ko00001;br:ko02044	NA	cog:COG0552	NA	NA	NA	NA	NA	NA	path:ko02024;path:ko03060;path:ko03070;path:map02024;path:map03060;path:map03070	pmid:11735405;pmid:14641032;pmid:18764927	NA	NA	tc:3.A.5.1;tc:3.A.5.2;tc:3.A.5.7	NA	ftsY; fused signal recognition particle receptor
Unknown_BF302-01R0002_00036	K03529	br:ko00001;br:ko03036	NA	cog:COG1196	NA	NA	NA	NA	NA	NA	NA	pmid:10485882;pmid:15827603;pmid:16229890	NA	NA	NA	NA	smc; chromosome segregation protein
Unknown_BF302-01R0002_00037	K03685	br:ko00001;br:ko01000;br:ko03009;br:ko03019;br:ko03036	NA	cog:COG0571	NA	NA	ec:3.1.26.3	go:0004525	NA	NA	path:ko03008;path:ko05205;path:map03008;path:map05205	pmid:14508493;pmid:16179796;pmid:18646867	NA	NA	NA	NA	rnc, DROSHA, RNT1; ribonuclease III
Unknown_BF302-01R0002_00038	K02078	br:ko00001	NA	cog:COG0236	NA	NA	NA	go:0000036	md:M00848	NA	path:ko00998;path:ko01100;path:ko01110;path:map00998;path:map01100;path:map01110	pmid:19462023	NA	rn:R12049	NA	NA	acpP; acyl carrier protein
Unknown_BF302-01R0002_00039	K03621	br:ko00001;br:ko01000;br:ko01004	NA	cog:COG0416	NA	NA	ec:2.3.1.274	go:0043811	NA	NA	path:ko00561;path:ko01100;path:ko01110;path:map00561;path:map01100;path:map01110	pmid:17645809	rc:RC00039	rn:R12240	NA	NA	plsX; phosphate acyltransferase
Unknown_BF302-01R0002_00041	K02911	br:br01610;br:ko00001;br:ko03011;br:ko03029	NA	cog:COG0333	NA	NA	NA	go:0005762;go:0022625	NA	NA	path:ko03010;path:map03010	pmid:10094780;pmid:7635191	NA	NA	NA	NA	RP-L32, MRPL32, rpmF; large subunit ribosomal protein L32
Unknown_BF302-01R0002_00042	K07040	br:ko00001;br:ko03009	NA	cog:COG1399	NA	NA	NA	NA	NA	NA	NA	pmid:27574185	NA	NA	NA	NA	yceD, ylbN; DUF177 domain-containing protein
Unknown_BF302-01R0002_00043	K00925	br:ko00001;br:ko01000	NA	cog:COG0282	NA	NA	ec:2.7.2.1	go:0008776	md:M00357;md:M00579	NA	path:ko00430;path:ko00620;path:ko00640;path:ko00680;path:ko00720;path:ko01100;path:ko01120;path:ko01200;path:map00430;path:map00620;path:map00640;path:map00680;path:map00720;path:map01100;path:map01120;path:map01200	pmid:22139191	rc:RC00002;rc:RC00043	rn:R00315;rn:R01353	NA	NA	ackA; acetate kinase
Unknown_BF302-01R0002_00045	K01735	br:ko00001;br:ko01000	NA	cog:COG0337	NA	NA	ec:4.2.3.4	go:0003856	md:M00022	NA	path:ko00400;path:ko01100;path:ko01110;path:ko01230;path:map00400;path:map01100;path:map01110;path:map01230	pmid:2514789	rc:RC00847	rn:R03083	NA	NA	aroB; 3-dehydroquinate synthase
Unknown_BF302-01R0002_00046	K06993	br:ko00001	NA	cog:COG3341	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K06993; ribonuclease H-related protein
Unknown_BF302-01R0002_00047	K23060	br:ko00001;br:ko01000;br:ko02000	NA	NA	NA	NA	ec:7.4.2.1	NA	NA	NA	path:ko02010;path:map02010	NA	NA	NA	NA	NA	artR, artM; arginine/lysine/histidine transport system ATP-binding protein
Unknown_BF302-01R0002_00048	K23059	br:ko00001;br:ko02000	NA	NA	NA	NA	NA	NA	NA	NA	path:ko02010;path:map02010	NA	NA	NA	NA	NA	artP, artI; arginine/lysine/histidine transporter system substrate-binding protein
Unknown_BF302-01R0002_00049	K02835	br:ko00001;br:ko03012	NA	cog:COG0216	NA	NA	NA	go:0003747	NA	NA	NA	pmid:14651631;pmid:17803939;pmid:19366610	NA	NA	NA	NA	prfA, MTRF1, MRF1; peptide chain release factor 1
Unknown_BF302-01R0002_00050	K02493	br:ko00001;br:ko01000;br:ko03012	NA	cog:COG2890	NA	NA	ec:2.1.1.297	NA	NA	NA	NA	pmid:11805295;pmid:11847124;pmid:18541145	rc:RC00003;rc:RC03279	rn:R10806	NA	NA	hemK, prmC, HEMK; release factor glutamine methyltransferase
Unknown_BF302-01R0002_00052	K02909	br:br01610;br:ko00001;br:ko03011	NA	cog:COG0254	NA	NA	NA	go:0022625	NA	NA	path:ko03010;path:map03010	pmid:10094780	NA	NA	NA	NA	RP-L31, rpmE; large subunit ribosomal protein L31
Unknown_BF302-01R0002_00053	K03628	br:ko00001;br:ko03019;br:ko03021	NA	cog:COG1158	NA	NA	NA	NA	NA	NA	path:ko03018;path:map03018	pmid:16554712;pmid:2461932	NA	NA	NA	NA	rho; transcription termination factor Rho
Unknown_BF302-01R0002_00054	K00027	br:ko00001;br:ko01000	NA	cog:COG0281	NA	NA	ec:1.1.1.38	go:0016619	NA	NA	path:ko00620;path:ko01200;path:ko02020;path:map00620;path:map01200;path:map02020	pmid:225306	rc:RC00105	rn:R00214	NA	NA	ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating)
Unknown_BF302-01R0002_00055	K07139	br:ko00001	NA	cog:COG1242	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K07139; uncharacterized protein
Unknown_BF302-01R0002_00058	K01714	br:ko00001;br:ko01000	NA	cog:COG0329	NA	NA	ec:4.3.3.7	go:0008840	md:M00016;md:M00525;md:M00526;md:M00527	NA	path:ko00261;path:ko00300;path:ko01100;path:ko01110;path:ko01120;path:ko01230;path:map00261;path:map00300;path:map01100;path:map01110;path:map01120;path:map01230	pmid:3514578	rc:RC03062;rc:RC03063	rn:R10147	NA	NA	dapA; 4-hydroxy-tetrahydrodipicolinate synthase
Unknown_BF302-01R0002_00059	K01928	br:ko00001;br:ko01000;br:ko01011	NA	cog:COG0769	NA	NA	ec:6.3.2.13	go:0008765	NA	NA	path:ko00300;path:ko00550;path:ko01100;path:map00300;path:map00550;path:map01100	pmid:11124264;pmid:2269304	rc:RC00064;rc:RC00090	rn:R02788	NA	NA	murE; UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
Unknown_BF302-01R0002_00060	K01778	br:ko00001;br:ko01000	NA	cog:COG0253	NA	NA	ec:5.1.1.7	go:0008837	md:M00016;md:M00525;md:M00527	NA	path:ko00300;path:ko00470;path:ko01100;path:ko01110;path:ko01120;path:ko01230;path:map00300;path:map00470;path:map01100;path:map01110;path:map01120;path:map01230	pmid:15652176;pmid:19013471	rc:RC00302	rn:R02735	NA	NA	dapF; diaminopimelate epimerase
Unknown_BF302-01R0002_00062	K15986	br:ko00001;br:ko01000	NA	cog:COG1227	NA	NA	ec:3.6.1.1	go:0004427	NA	NA	path:ko00190;path:map00190	pmid:9782505	NA	NA	NA	NA	ppaC; manganese-dependent inorganic pyrophosphatase
Unknown_BF302-01R0002_00064	K03737	br:br01601;br:ko00001;br:ko01000	NA	cog:COG0674;cog:COG1013;cog:COG1014	NA	NA	ec:1.2.7.1	go:0043873	md:M00173;md:M00307	NA	path:ko00010;path:ko00020;path:ko00620;path:ko00650;path:ko00720;path:ko01100;path:ko01110;path:ko01120;path:ko01200;path:map00010;path:map00020;path:map00620;path:map00650;path:map00720;path:map01100;path:map01110;path:map01120;path:map01200	pmid:24025246;pmid:6352705;pmid:7612653	rc:RC00004;rc:RC02742	rn:R01196;rn:R10866	NA	NA	por, nifJ; pyruvate-ferredoxin/flavodoxin oxidoreductase
Unknown_BF302-01R0002_00067	K03648	br:ko00001;br:ko01000;br:ko03400	NA	cog:COG0692	ds:H00086	NA	ec:3.2.2.27	go:0004844	NA	NA	path:ko03410;path:ko05340;path:map03410;path:map05340	pmid:11812822;pmid:18412541;pmid:2555154	NA	NA	NA	NA	UNG, UDG; uracil-DNA glycosylase
Unknown_BF302-01R0002_00068	K02500	br:ko00001;br:ko01000	NA	cog:COG0107	NA	NA	ec:4.3.2.10	go:0000107	md:M00026	NA	path:ko00340;path:ko01100;path:ko01110;path:ko01230;path:map00340;path:map01100;path:map01110;path:map01230	pmid:11839304	rc:RC00010;rc:RC01190;rc:RC01943	rn:R04558	NA	NA	hisF; imidazole glycerol-phosphate synthase subunit HisF
Unknown_BF302-01R0002_00069	K02501	br:ko00001;br:ko01000	NA	cog:COG0118	NA	NA	ec:4.3.2.10	go:0000107	md:M00026	NA	path:ko00340;path:ko01100;path:ko01110;path:ko01230;path:map00340;path:map01100;path:map01110;path:map01230	pmid:11839304	rc:RC00010;rc:RC01190;rc:RC01943	rn:R04558	NA	NA	hisH; imidazole glycerol-phosphate synthase subunit HisH
Unknown_BF302-01R0002_00070	K18345	br:ko00001;br:ko01000;br:ko01001;br:ko01504;br:ko02022	NA	cog:COG0642	NA	NA	ec:2.7.13.3	go:0000155	md:M00651	NA	path:ko01502;path:ko02020;path:map01502;path:map02020	pmid:22913355;pmid:8631706	NA	NA	NA	NA	vanSB, vanS, vanSD; two-component system, OmpR family, sensor histidine kinase VanS
Unknown_BF302-01R0002_00071	K07775	br:ko00001;br:ko02022	NA	cog:COG0745	NA	NA	NA	go:0000156	NA	NA	path:ko02020;path:map02020	pmid:8631715	NA	NA	NA	NA	resD; two-component system, OmpR family, response regulator ResD
