qseqid	sseqid	qlen	slen	length	pident	qcovhsp	evalue	bitscore	max_bitscore	norm_bitscore
Unknown_BF302-01R0001_00002	ere:EUBREC_0842	242	239	239	98.7	98.8	5.94e-169	470	479.6	0.98
Unknown_BF302-01R0001_00003	ere:EUBREC_0841	345	345	345	99.1	100	2.20e-246	674	682.2	0.988
Unknown_BF302-01R0001_00003	rho:RHOM_02895	345	341	336	85.4	97.4	1.36e-207	576	680.2	0.847
Unknown_BF302-01R0001_00003	pxv:FXF36_07455	345	341	337	81.3	97.7	5.10e-196	547	680.2	0.804
Unknown_BF302-01R0001_00005	ere:EUBREC_0839	303	303	303	99.3	100	1.44e-223	613	620.9	0.987
Unknown_BF302-01R0001_00006	ere:EUBREC_0838	149	149	149	100	100	6.52e-103	295	298.5	0.988
Unknown_BF302-01R0001_00007	ere:EUBREC_0837	237	237	237	98.7	100	5.90e-165	459	468.8	0.979
Unknown_BF302-01R0001_00008	ere:EUBREC_0836	149	149	149	99.3	100	1.32e-102	295	303.1	0.973
Unknown_BF302-01R0001_00008	rho:RHOM_02865	149	149	139	82.0	93.3	1.19e-80	239	308.1	0.776
Unknown_BF302-01R0001_00010	ere:EUBREC_0834	202	202	202	92.6	100	9.08e-129	365	396.4	0.921
Unknown_BF302-01R0001_00011	ere:EUBREC_0832	786	786	786	98.0	100	0.0	1345	1525.0	0.882
Unknown_BF302-01R0001_00011	rho:RHOM_02845	786	715	713	78.8	90.7	0.0	1095	1382.9	0.792
Unknown_BF302-01R0001_00015	ere:EUBREC_0828	397	397	397	99.7	100	4.05e-282	769	780.8	0.985
Unknown_BF302-01R0001_00018	ere:EUBREC_0825	604	604	604	99.7	100	0.0	1184	1193.7	0.992
Unknown_BF302-01R0001_00031	ere:EUBREC_0737	348	353	348	99.7	100	5.79e-247	676	693.0	0.975
Unknown_BF302-01R0001_00032	ere:EUBREC_0736	260	260	260	99.6	100	7.48e-184	509	515.8	0.987
Unknown_BF302-01R0001_00032	rho:RHOM_02780	260	260	260	88.8	100	1.70e-164	460	517.3	0.889
Unknown_BF302-01R0001_00032	pxv:FXF36_02125	260	260	260	86.2	100	2.59e-159	447	512.3	0.873
Unknown_BF302-01R0001_00032	ccom:I6K69_14520	260	260	260	82.3	100	1.85e-152	430	511.5	0.841
Unknown_BF302-01R0001_00032	bpb:bpr_I2484	260	263	263	81.7	100	2.80e-150	424	517.7	0.819
Unknown_BF302-01R0001_00032	ehl:EHLA_0167	260	261	261	80.5	100	7.47e-150	423	515.8	0.82
Unknown_BF302-01R0001_00032	lua:D4A81_03355	260	260	260	80.0	100	3.97e-147	416	507.7	0.819
Unknown_BF302-01R0001_00032	lua:D4A81_11710	260	260	260	80.0	100	3.97e-147	416	507.7	0.819
Unknown_BF302-01R0001_00033	ere:EUBREC_0735	389	389	389	99.7	100	4.01e-278	758	773.5	0.98
Unknown_BF302-01R0001_00033	rho:RHOM_02775	389	384	389	86.6	100	2.66e-236	652	756.5	0.862
Unknown_BF302-01R0001_00033	bprl:CL2_10550	389	383	389	83.0	100	8.25e-226	626	757.7	0.826
Unknown_BF302-01R0001_00033	ehl:EHLA_0166	389	384	389	82.3	100	1.41e-224	623	761.1	0.819
Unknown_BF302-01R0001_00033	ccom:I6K69_14515	389	383	389	81.7	100	5.04e-220	611	758.1	0.806
Unknown_BF302-01R0001_00034	ere:EUBREC_0734	290	290	290	99.7	100	7.60e-208	572	577.0	0.991
Unknown_BF302-01R0001_00034	rho:RHOM_02770	290	290	290	93.8	100	4.84e-195	540	576.6	0.937
Unknown_BF302-01R0001_00034	coo:CCU_27770	290	290	290	93.1	100	1.39e-194	539	576.2	0.935
Unknown_BF302-01R0001_00034	pxv:FXF36_02135	290	290	290	93.4	100	2.30e-193	536	574.7	0.933
Unknown_BF302-01R0001_00034	fpr:FP2_20580	290	290	288	86.8	99.3	1.19e-179	501	579.3	0.865
Unknown_BF302-01R0001_00034	olo:ADJ70_09905	290	289	288	85.8	99.3	1.93e-171	480	570.5	0.841
Unknown_BF302-01R0001_00035	ere:EUBREC_0733	394	394	394	99.7	100	4.66e-275	751	771.9	0.973
Unknown_BF302-01R0001_00035	rho:RHOM_02765	394	394	393	90.8	99.7	9.60e-252	692	771.9	0.896
Unknown_BF302-01R0001_00035	euc:EC1_11740	394	394	393	87.5	99.7	2.80e-244	673	772.3	0.871
Unknown_BF302-01R0001_00035	bpb:bpr_I2488	394	402	395	86.1	100	2.08e-241	666	792.0	0.841
Unknown_BF302-01R0001_00036	ere:EUBREC_0732	1068	1068	1068	100	100	0.0	2098	2109.7	0.994
Unknown_BF302-01R0001_00036	rho:RHOM_02740	1068	1068	1068	89.1	100	0.0	1881	2105.1	0.894
Unknown_BF302-01R0001_00036	pxv:FXF36_13720	1068	1066	1066	84.9	99.7	0.0	1788	2098.6	0.852
Unknown_BF302-01R0001_00037	ere:EUBREC_0731	356	356	356	99.7	100	3.91e-266	725	729.9	0.993
Unknown_BF302-01R0001_00037	rho:RHOM_02735	356	361	359	89.4	99.4	1.83e-238	655	734.2	0.892
Unknown_BF302-01R0001_00037	pxv:FXF36_13725	356	356	356	86.0	100	3.64e-230	634	734.6	0.863
Unknown_BF302-01R0001_00037	rto:RTO_26220	356	374	356	84.3	100	5.33e-225	622	758.1	0.82
Unknown_BF302-01R0001_00037	rob:CK5_34090	356	362	356	82.9	99.4	2.72e-215	597	740.7	0.806
Unknown_BF302-01R0001_00037	eel:EUBELI_20411	356	357	353	81.6	98.9	1.69e-210	585	727.2	0.804
Unknown_BF302-01R0001_00039	ere:EUBREC_0728	739	739	739	99.9	100	0.0	1431	1447.2	0.989
Unknown_BF302-01R0001_00040	ere:EUBREC_0724	396	396	396	99.7	100	8.22e-286	778	787.7	0.988
Unknown_BF302-01R0001_00041	ere:EUBREC_0723	147	147	147	100	100	2.47e-97	281	282.0	0.996
Unknown_BF302-01R0001_00044	ere:EUBREC_0720	330	330	330	99.4	100	1.93e-237	650	666.8	0.975
Unknown_BF302-01R0001_00044	rho:RHOM_02610	330	339	326	83.1	98.8	1.12e-197	550	685.6	0.802
Unknown_BF302-01R0001_00044	rob:CK5_15790	330	334	326	81.6	98.8	7.28e-195	543	677.2	0.802
